Department,Subject,Course,Section,Instructor,A,B,C,D,F,IX,NP,P,RD,W,Total
Art,AHIS,AHIS 1,1067,MOUSAVI A,9.0,3.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,11.0,38
Art,AHIS,AHIS 1,1068,MEYER W J,53.0,29.0,10.0,7.0,14.0,0.0,0.0,1.0,0.0,16.0,130
Art,AHIS,AHIS 1,1069,MOUSAVI A,11.0,7.0,3.0,3.0,10.0,0.0,0.0,1.0,0.0,5.0,40
Art,AHIS,AHIS 1,1070,MOUSAVI A,9.0,6.0,4.0,7.0,11.0,0.0,0.0,0.0,0.0,9.0,46
Art,AHIS,AHIS 1,1071,MEYER W J,29.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,40
Art,AHIS,AHIS 1,1072,MEYER W J,13.0,3.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,6.0,33
Art,AHIS,AHIS 1,1073,MACK R T,14.0,11.0,5.0,4.0,7.0,0.0,0.0,1.0,0.0,3.0,45
Art,AHIS,AHIS 1,1074,MACK R T,10.0,9.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,3.0,37
Art,AHIS,AHIS 1,3562,MAJSTOROVIC M,19.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,39
Art,AHIS,AHIS 1,3568,O'LEARY T F,7.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,30
Art,AHIS,AHIS 1,3577,FOLLAND T F,10.0,6.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,15.0,45
Art,AHIS,AHIS 1,3606,FOLLAND T F,9.0,6.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,12.0,42
Art,AHIS,AHIS 1,4007,LEAPER L E,8.0,11.0,9.0,1.0,15.0,1.0,0.0,1.0,0.0,10.0,56
Art,AHIS,AHIS 2,1075,DONAHUE N J,72.0,28.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,125
Art,AHIS,AHIS 2,1076,MEDVEDEV N,19.0,14.0,3.0,3.0,16.0,0.0,1.0,0.0,0.0,11.0,67
Art,AHIS,AHIS 2,1077,MAJSTOROVIC M,29.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,38
Art,AHIS,AHIS 2,1078,HESSER M,10.0,11.0,3.0,2.0,6.0,0.0,1.0,0.0,0.0,7.0,40
Art,AHIS,AHIS 2,1079,FOLLAND T F,8.0,5.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,9.0,38
Art,AHIS,AHIS 2,1080,HESSER M,10.0,6.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,32
Art,AHIS,AHIS 2,3569,HESSER M,14.0,2.0,5.0,2.0,11.0,0.0,0.0,0.0,0.0,10.0,44
Art,AHIS,AHIS 2,4008,CHANDLER M M,10.0,10.0,3.0,2.0,10.0,0.0,1.0,0.0,0.0,7.0,43
Art,AHIS,AHIS 3,1081,DONAHUE N J,79.0,21.0,5.0,1.0,13.0,2.0,0.0,0.0,0.0,17.0,138
Art,AHIS,AHIS 3,1082,MEYER W J,47.0,21.0,6.0,4.0,11.0,0.0,0.0,1.0,0.0,26.0,116
Art,AHIS,AHIS 3,1083,MIHAYLOVICH K W,21.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,36
Art,AHIS,AHIS 5,1084,ROSENBLUM B T,25.0,20.0,8.0,4.0,10.0,0.0,1.0,0.0,0.0,12.0,80
Art,AHIS,AHIS 6,1085,ROSENBLUM B T,11.0,24.0,8.0,2.0,12.0,0.0,1.0,1.0,0.0,10.0,69
Art,AHIS,AHIS 11,1086,LEE O,32.0,14.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,17.0,81
Art,AHIS,AHIS 11,1087,THAYER J,17.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,30
Art,AHIS,AHIS 11,3570,THAYER J,15.0,4.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,33
Art,AHIS,AHIS 11,3608,THAYER J,12.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,38
Art,AHIS,AHIS 11,4009,JAMES N M,8.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,23
Art,AHIS,AHIS 17,1088,LEE O,10.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,37
Art,AHIS,AHIS 17,1089,O'LEARY T F,6.0,14.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,33
Art,AHIS,AHIS 17,3607,O'LEARY T F,2.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,17.0,31
Art,AHIS,AHIS 18,1090,MEYER W J,26.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,41
Art,AHIS,AHIS 72,1093,DASTIN E R,28.0,15.0,5.0,3.0,10.0,0.0,0.0,0.0,0.0,6.0,67
Art,AHIS,AHIS 72,1094,DASTIN E R,11.0,14.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,38
Art,AHIS,AHIS 72,1095,MIHAYLOVICH K W,11.0,13.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,5.0,42
Art,AHIS,AHIS 72,1096,MIHAYLOVICH K W,3.0,10.0,7.0,3.0,9.0,0.0,0.0,0.0,0.0,7.0,39
Art,AHIS,AHIS 72,1097,STUART C A,7.0,3.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,11.0,33
Art,AHIS,AHIS 72,1098,MAJSTOROVIC M,22.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,34
Art,ART,ART 10A,1137,BURCHMAN J H,14.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25
Art,ART,ART 10A,1138,ZARCONE J,3.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,22
Art,ART,ART 10A,1139,MINCKLEY J L,10.0,6.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,28
Art,ART,ART 10A,1140,MITCHELL R,14.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,26
Art,ART,ART 10A,1141,KARLSEN A M,15.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,28
Art,ART,ART 10A,1142,BADGER C P,9.0,4.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,9.0,30
Art,ART,ART 10A,1143,ARUTIAN C L,6.0,4.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,26
Art,ART,ART 10A,1144,BADGER C P,7.0,6.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,3.0,31
Art,ART,ART 10A,1145,KARLSEN A M,10.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,26
Art,ART,ART 10A,1146,MIYANO E,10.0,7.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,25
Art,ART,ART 10A,1147,ARGOTE C A,6.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,20
Art,ART,ART 10A,4023,SILVER E M,19.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22
Art,ART,ART 10A,4024,SHIBATA J M,11.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,25
Art,ART,ART 10A,4025,MITCHELL R,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21
Art,ART,ART 10A,4026,ARGOTE C A,9.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,23
Art,ART,ART 10B,1148,BADGER C P,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21
Art,ART,ART 10B,1149,WINSRYG M W,8.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,18
Art,ART,ART 10B,1150,DAVIS R L,17.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,31
Art,ART,ART 10B,4027,MIYANO E,9.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,25
Art,ART,ART 10C,1151,BADGER C P,11.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,21
Art,ART,ART 10C,1152,OBIAMIWE O D,13.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18
Art,ART,ART 10C,4028,OBIAMIWE O D,9.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,24
Art,ART,ART 10C,4029,LUNDQUIST T,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,17
Art,ART,ART 13,1153,HARTMAN D G,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28
Art,ART,ART 13,1154,BADGER C P,10.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,29
Art,ART,ART 13,4030,SILVER E M,12.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,19
Art,ART,ART 17A,1155,JOLLER G,18.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,25
Art,ART,ART 20A,1156,HATTON C,11.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,30
Art,ART,ART 20A,1157,THOMASON M M,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30
Art,ART,ART 20A,1158,HATTON C,9.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,32
Art,ART,ART 20A,1159,OTA N T,10.0,4.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,25
Art,ART,ART 20A,1160,ZARCONE J,4.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,25
Art,ART,ART 20A,1161,HATTON C,13.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,25
Art,ART,ART 20A,1162,VICICH G M,10.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,28
Art,ART,ART 20A,1163,SYNICKY C M,5.0,5.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,6.0,28
Art,ART,ART 20A,1164,BURCHMAN J H,14.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27
Art,ART,ART 20A,1165,MAMMARELLA C J,7.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,26
Art,ART,ART 20A,1166,WHEAT N R,9.0,4.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,25
Art,ART,ART 20A,1167,SCHMELTZ L A,3.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,20
Art,ART,ART 20A,4031,MAMMARELLA C J,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,21
Art,ART,ART 20A,4032,WHEAT N R,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20
Art,ART,ART 20B,1168,VICICH G M,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19
Art,ART,ART 20B,1169,KARLSEN A M,13.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,28
Art,ART,ART 20B,1170,HATTON C,17.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,28
Art,ART,ART 20B,1171,KARLSEN A M,9.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,19
Art,ART,ART 20B,4034,SYNICKY C M,6.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,19
Art,ART,ART 20C,1172,WINSRYG M W,14.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,23
