Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Art,AHIS,AHIS 1,1067,ROCCHIO M P,10.0,9.0,7.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,7.0,46
Art,AHIS,AHIS 1,1068,MOUSAVI A,3.0,4.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,7.0,27
Art,AHIS,AHIS 1,1069,MEYER W J,46.0,35.0,8.0,5.0,9.0,0.0,1.0,0.0,1.0,0.0,16.0,121
Art,AHIS,AHIS 1,1070,MOUSAVI A,6.0,14.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,37
Art,AHIS,AHIS 1,1071,SIMMONS B B,34.0,27.0,12.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,104
Art,AHIS,AHIS 1,1072,MEYER W J,24.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,32
Art,AHIS,AHIS 1,1073,MEYER W J,26.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,38
Art,AHIS,AHIS 1,1074,MENDOZA B,15.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,35
Art,AHIS,AHIS 1,1075,MEDVEDEV N,19.0,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,44
Art,AHIS,AHIS 1,1076,ROSENBLUM B T,9.0,13.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,40
Art,AHIS,AHIS 1,1077,ROSENBLUM B T,4.0,10.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,34
Art,AHIS,AHIS 1,1078,HALL RE S,6.0,4.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,30
Art,AHIS,AHIS 1,1079,FOLLAND T F,9.0,5.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,38
Art,AHIS,AHIS 1,3635,FOLLAND T F,5.0,2.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,34
Art,AHIS,AHIS 1,3664,ROSENBLUM B T,4.0,6.0,3.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,7.0,34
Art,AHIS,AHIS 1,4007,ROCCHIO M P,7.0,5.0,3.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,7.0,32
Art,AHIS,AHIS 2,1080,CHANDLER M M,12.0,13.0,11.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,44
Art,AHIS,AHIS 2,1081,MENDOZA B,31.0,6.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,48
Art,AHIS,AHIS 2,1082,MAJSTOROVIC M,34.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,42
Art,AHIS,AHIS 2,1083,HESSER M,9.0,6.0,7.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,37
Art,AHIS,AHIS 2,1084,MEYER W J,25.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,39
Art,AHIS,AHIS 2,1085,CHANDLER M M,6.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,25
Art,AHIS,AHIS 2,1086,MEDVEDEV N,16.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,35
Art,AHIS,AHIS 2,1087,MEYER W J,10.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,25
