Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Art,AHIS,AHIS 1,FOLLAND T F,7,11,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6,37
Art,AHIS,AHIS 1,LEAPER L E,6,9,15.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,21,71
Art,AHIS,AHIS 1,MAJSTOROVIC M,24,5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,34
Art,AHIS,AHIS 1,MEDVEDEV N,23,6,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5,44
Art,AHIS,AHIS 1,MENDOZA B,19,4,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7,37
Art,AHIS,AHIS 1,MEYER W J,126,31,10.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,23,212
Art,AHIS,AHIS 1,MOUSAVI A,13,8,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2,33
Art,AHIS,AHIS 1,ROCCHIO M P,31,19,15.0,3.0,18.0,0.0,1.0,0.0,1.0,0.0,5,93
Art,AHIS,AHIS 1,ROSENBLUM B T,11,6,7.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,6,38
Art,AHIS,AHIS 1,SIMMONS B B,56,17,16.0,7.0,18.0,0.0,1.0,1.0,0.0,0.0,11,127
Art,AHIS,AHIS 2,CHANDLER M M,44,19,7.0,4.0,19.0,0.0,3.0,1.0,0.0,0.0,21,118
Art,AHIS,AHIS 2,DONAHUE N J,66,16,9.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,12,122
Art,AHIS,AHIS 2,HESSER M,9,7,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,8,34
Art,AHIS,AHIS 2,MAJSTOROVIC M,38,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
Art,AHIS,AHIS 2,MEDVEDEV N,24,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,37
Art,AHIS,AHIS 2,MENDOZA B,33,3,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3,46
Art,AHIS,AHIS 2,ROSENBLUM B T,9,3,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9,31
Art,AHIS,AHIS 3,"CARRASCO NEVDAT M
C",20,11,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,43
Art,AHIS,AHIS 3,MIHAYLOVICH K W,17,10,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6,40
Art,AHIS,AHIS 5,SIMMONS B B,47,22,8.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,5,97
Art,AHIS,AHIS 6,SIMMONS B B,29,5,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,44
Art,AHIS,AHIS 11,AHMADPOUR A,12,3,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,5,31
Art,AHIS,AHIS 11,MAJSTOROVIC M,24,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30
Art,AHIS,AHIS 11,MENDOZA B,20,5,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6,38
Art,AHIS,AHIS 11,MEYER W J,65,26,13.0,6.0,20.0,0.0,1.0,0.0,0.0,0.0,20,151
Art,AHIS,AHIS 11,MOUSAVI A,20,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,26
Art,AHIS,AHIS 11,THAYER J,25,1,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3,36
Art,AHIS,AHIS 17,LEE O,16,6,4.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,8,44
Art,AHIS,AHIS 17,O'LEARY T F,11,6,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9,35
Art,AHIS,AHIS 17,SIMMONS B B,33,6,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2,46
Art,AHIS,AHIS 18,SIMMONS B B,42,16,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9,80
Art,AHIS,AHIS 52,FIER B,6,12,11.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,6,51
Art,AHIS,AHIS 72,DASTIN E R,14,8,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,32
Art,AHIS,AHIS 72,MIHAYLOVICH K W,13,12,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5,38
Art,ART,ART 10A,ARUTIAN C L,4,2,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,18
Art,ART,ART 10A,BADGER C P,25,10,1.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,8,59
Art,ART,ART 10A,BURCHMAN J H,15,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7,27
Art,ART,ART 10A,JAMES N M,4,5,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3,20
Art,ART,ART 10A,KARLSEN A M,26,10,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,9,56
Art,ART,ART 10A,MITCHELL R,30,7,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4,45
Art,ART,ART 10A,MIYANO E,11,9,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,26
Art,ART,ART 10A,SHIBATA J M,13,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,21
Art,ART,ART 10A,WINSRYG M W,11,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6,23
Art,ART,ART 10A,ZARCONE J,2,4,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6,17
Art,ART,ART 10B,BADGER C P,14,12,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,30
Art,ART,ART 10B,MIYANO E,11,8,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1,23
Art,ART,ART 10B,WINSRYG M W,7,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,19
Art,ART,ART 10C,BADGER C P,13,1,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,20
Art,ART,ART 10C,OBIAMIWE O D,7,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,17
Art,ART,ART 13,HARTMAN D G,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
Art,ART,ART 13,SILVER E M,32,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,42
Art,ART,ART 17A,JOLLER G,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20
Art,ART,ART 20A,BURCHMAN J H,20,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,31
Art,ART,ART 20A,HATTON C,51,12,6.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,15,93
Art,ART,ART 20A,KOMPANEYETS M,5,6,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4,23
Art,ART,ART 20A,MAMMARELLA C J,7,6,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7,28
Art,ART,ART 20A,OTA N T,6,5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9,23
Art,ART,ART 20A,SIMON D L,5,6,4.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,4,29
Art,ART,ART 20A,VICICH G M,20,8,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10,51
Art,ART,ART 20A,ZARCONE J,6,2,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,6,25
Art,ART,ART 20B,HATTON C,20,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,30
Art,ART,ART 20B,LOPEZ L G,4,8,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8,29
Art,ART,ART 20B,MAMMARELLA C J,7,7,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6,25
Art,ART,ART 20C,WINSRYG M W,10,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15
Art,ART,ART 21A,KOMPANEYETS M,9,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4,18
Art,ART,ART 21A,TRUJILLO M E,23,16,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3,49
Art,ART,ART 21B,TRUJILLO M E,10,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,21
