Department,Subject,Course,Section,Instructor,A,B,C,D,F,NP,P,IX,RD,EW,W,Total
Art,AHIS,AHIS 1,1077,MEDVEDEV N,33,3,1,1,3,0.0,0.0,0.0,0.0,0.0,6,47
Art,AHIS,AHIS 1,1078,MEDVEDEV N,33,3,1,0.0,5,0.0,0.0,0.0,0.0,0.0,5,47
Art,AHIS,AHIS 1,1079,RODRIGUEZ K,22,2,3,2,7,0.0,0.0,0.0,0.0,1,5,42
Art,AHIS,AHIS 1,1080,SIMMONS B B,39,1,0.0,2,5,0.0,0.0,0.0,0.0,0.0,1,48
Art,AHIS,AHIS 1,1081,SIMMONS B B,34,2,1,0.0,6,0.0,0.0,0.0,0.0,0.0,4,47
Art,AHIS,AHIS 1,1082,MAJSTOROVIC M,36,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41
Art,AHIS,AHIS 1,1083,MENDOZA B,25,5,2,2,3,0.0,0.0,0.0,0.0,0.0,3,40
Art,AHIS,AHIS 1,1084,BLACKWOOD K,13,11,4,2,3,0.0,1,1,0.0,0.0,9,44
Art,AHIS,AHIS 1,1085,WACKS D E,13,12,4,1,7,0.0,1,2,0.0,0.0,5,45
Art,AHIS,AHIS 1,1086,WASHINGTON T L,19,7,4,1,6,0.0,0.0,0.0,0.0,0.0,5,42
Art,AHIS,AHIS 1,1087,RODRIGUEZ K,28,0.0,3,0.0,6,0.0,0.0,0.0,0.0,0.0,3,40
Art,AHIS,AHIS 1,1088,MEYER W J,26,3,1,0.0,5,0.0,0.0,0.0,0.0,0.0,8,43
Art,AHIS,AHIS 1,3680,MEYER W J,22,4,0.0,2,7,0.0,1,0.0,0.0,0.0,2,38
Art,AHIS,AHIS 1,3750,RODRIGUEZ K,17,2,1,1,9,0.0,0.0,0.0,0.0,0.0,8,38
Art,AHIS,AHIS 1,4007,HALLQUIST S L,22,5,0.0,0.0,5,0.0,1,0.0,0.0,0.0,12,45
Art,AHIS,AHIS 2,1089,MENDOZA B,28,6,3,0.0,3,0.0,0.0,0.0,0.0,0.0,4,44
Art,AHIS,AHIS 2,1090,MAJSTOROVIC M,31,3,1,2,1,0.0,0.0,0.0,0.0,0.0,3,41
Art,AHIS,AHIS 2,1091,MEYER W J,30,5,1,1,5,0.0,0.0,0.0,0.0,0.0,6,48
Art,AHIS,AHIS 2,1092,MEYER W J,33,1,3,4,2,0.0,0.0,0.0,0.0,0.0,3,46
Art,AHIS,AHIS 2,1093,DONAHUE N J,41,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,43
Art,AHIS,AHIS 2,1094,LEAPER L E,11,8,9,1,3,0.0,0.0,0.0,0.0,0.0,11,43
