Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,SP,W,EW,Total
Art,AHIS,AHIS 1,1072,MIHAYLOVICH K W,24,2,7,2,4,0.0,0.0,0.0,0.0,0.0,6,45
Art,AHIS,AHIS 1,1073,MENDOZA B,28,5,3,1,2,0.0,0.0,0.0,0.0,0.0,5,44
Art,AHIS,AHIS 1,1074,MEDVEDEV N,34,8,3,0.0,4,0.0,0.0,0.0,0.0,0.0,4,53
Art,AHIS,AHIS 1,1075,SIMMONS B B,32,2,3,1,3,0.0,0.0,0.0,0.0,0.0,1,42
Art,AHIS,AHIS 1,1076,SIMMONS B B,29,4,6,0.0,4,0.0,0.0,0.0,0.0,0.0,2,45
Art,AHIS,AHIS 1,1077,HESSER M,14,7,2,6,7,0.0,0.0,0.0,0.0,0.0,5,41
Art,AHIS,AHIS 1,1078,LEAPER L E,7,11,3,2,10,0.0,0.0,0.0,0.0,0.0,7,40
Art,AHIS,AHIS 1,1079,WASHINGTON T L,19,7,6,1,8,0.0,1,0.0,0.0,0.0,3,45
Art,AHIS,AHIS 1,1080,BLACKWOOD K,18,6,6,2,9,0.0,0.0,0.0,0.0,0.0,0.0,41
Art,AHIS,AHIS 1,1081,MEYER W J,51,5,0.0,5,10,0.0,0.0,0.0,0.0,0.0,13,84
Art,AHIS,AHIS 1,1082,MEYER W J,54,6,0.0,3,12,1,0.0,0.0,0.0,0.0,6,82
Art,AHIS,AHIS 1,1083,LEZO A L,28,0.0,1,1,5,0.0,0.0,2,0.0,0.0,6,43
Art,AHIS,AHIS 1,1084,MENDOZA B,30,4,4,1,2,0.0,0.0,0.0,0.0,0.0,1,42
Art,AHIS,AHIS 1,1085,MAJSTOROVIC M,29,3,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,4,38
Art,AHIS,AHIS 1,1086,GREINER KA,8,4,0.0,2,16,0.0,0.0,0.0,0.0,0.0,9,39
Art,AHIS,AHIS 1,1087,MAJSTOROVIC M,30,4,1,0.0,5,0.0,0.0,0.0,0.0,0.0,2,42
Art,AHIS,AHIS 1,3663,BLACKWOOD K,10,6,5,1,4,0.0,0.0,0.0,0.0,0.0,4,30
Art,AHIS,AHIS 1,3701,WASHINGTON T L,15,7,2,0.0,10,1,0.0,0.0,0.0,0.0,9,44
Art,AHIS,AHIS 1,3710,MEDVEDEV N,22,4,3,0.0,12,1,1,0.0,0.0,0.0,1,44
Art,AHIS,AHIS 2,1088,MIHAYLOVICH K W,14,5,3,0.0,4,0.0,0.0,0.0,0.0,0.0,4,30
Art,AHIS,AHIS 2,1089,MEDVEDEV N,27,5,3,0.0,1,0.0,0.0,0.0,0.0,0.0,9,45
Art,AHIS,AHIS 2,1090,DONAHUE N J,35,5,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,44
Art,AHIS,AHIS 2,1091,WACKS D E,6,11,4,1,3,0.0,0.0,0.0,0.0,0.0,8,33
Art,AHIS,AHIS 2,1092,DONAHUE N J,31,3,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,3,42
Art,AHIS,AHIS 2,1094,MEYER W J,17,0.0,0.0,2,3,0.0,0.0,0.0,0.0,0.0,3,25
Art,AHIS,AHIS 2,1095,DONAHUE N J,21,3,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,4,37
Art,AHIS,AHIS 2,3675,DONAHUE N J,29,0.0,4,0.0,4,0.0,0.0,0.0,0.0,0.0,2,39
Art,AHIS,AHIS 2,3702,MAJSTOROVIC M,20,5,2,1,6,0.0,0.0,0.0,0.0,0.0,5,39
Art,AHIS,AHIS 3,1098,DONAHUE N J,36,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,4,45
Art,AHIS,AHIS 3,1099,DONAHUE N J,32,2,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,3,43
Art,AHIS,AHIS 5,1100,SIMMONS B B,22,5,2,1,13,1,0.0,0.0,0.0,0.0,4,48
Art,AHIS,AHIS 5,3586,SIMMONS B B,24,4,3,0.0,11,0.0,0.0,0.0,0.0,0.0,5,47
Art,AHIS,AHIS 6,1103,RODRIGUEZ K,15,5,4,3,10,0.0,0.0,0.0,0.0,0.0,4,41
Art,AHIS,AHIS 11,1104,RODRIGUEZ K,30,5,0.0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,41
Art,AHIS,AHIS 11,1105,THAYER J,20,5,4,1,2,0.0,0.0,0.0,0.0,0.0,4,36
Art,AHIS,AHIS 11,1107,AHMADPOUR A,9,3,6,8,5,0.0,0.0,2,0.0,0.0,4,37
Art,AHIS,AHIS 11,1108,RODRIGUEZ K,23,6,2,0.0,8,0.0,0.0,0.0,0.0,0.0,3,42
Art,AHIS,AHIS 11,1109,RODRIGUEZ K,22,3,3,1,6,0.0,0.0,0.0,0.0,0.0,4,39
