Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Art,AHIS,AHIS 1,1067,DONAHUE N J,90,10,0.0,1,12,1,0.0,0.0,0.0,1,2,117
Art,AHIS,AHIS 1,1068,SIMMONS B B,50,2,8,4,21,0.0,1,0.0,0.0,0.0,1,87
Art,AHIS,AHIS 1,1069,RODRIGUEZ K,16,6,7,3,9,0.0,1,0.0,0.0,0.0,2,44
Art,AHIS,AHIS 1,1070,RODRIGUEZ K,22,3,4,1,8,0.0,0.0,0.0,0.0,0.0,5,43
Art,AHIS,AHIS 1,1071,MIHAYLOVICH K W,21,6,6,4,3,0.0,1,0.0,0.0,0.0,2,43
Art,AHIS,AHIS 1,1072,SIMMONS B B,27,7,2,1,6,0.0,0.0,0.0,0.0,0.0,4,47
Art,AHIS,AHIS 1,1073,SIMMONS B B,30,2,3,0.0,9,0.0,0.0,0.0,0.0,0.0,2,46
Art,AHIS,AHIS 1,1074,MENDOZA B,26,6,3,2,1,0.0,0.0,0.0,0.0,0.0,4,42
Art,AHIS,AHIS 1,1075,MENDOZA B,32,3,5,0.0,1,0.0,0.0,0.0,0.0,0.0,3,44
Art,AHIS,AHIS 1,1076,PRECIADO G,24,3,1,0.0,10,0.0,0.0,0.0,0.0,0.0,4,42
Art,AHIS,AHIS 1,1077,DONAHUE N J,40,1,0.0,1,2,1,0.0,0.0,0.0,0.0,1,46
Art,AHIS,AHIS 1,3346,PRECIADO G,26,3,0.0,4,7,0.0,0.0,0.0,0.0,0.0,1,41
Art,AHIS,AHIS 1,3471,BLACKWOOD K,19,10,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,4,37
Art,AHIS,AHIS 1,3493,BLACKWOOD K,15,6,2,0.0,9,0.0,0.0,0.0,0.0,0.0,4,36
Art,AHIS,AHIS 1,3543,BLACKWOOD K,10,4,6,0.0,4,1,1,0.0,0.0,0.0,6,32
Art,AHIS,AHIS 1,3546,MEDVEDEV N,22,2,6,0.0,10,0.0,0.0,0.0,0.0,0.0,2,42
Art,AHIS,AHIS 1,3550,MENDOZA B,14,3,1,1,3,6,1,0.0,0.0,0.0,3,32
Art,AHIS,AHIS 1,3565,MEYER W J,23,0.0,0.0,2,6,0.0,0.0,0.0,0.0,0.0,4,35
Art,AHIS,AHIS 1,3581,MACE J Y,24,3,3,0.0,8,0.0,0.0,0.0,0.0,0.0,3,41
Art,AHIS,AHIS 1,3586,MACE J Y,18,3,3,2,16,0.0,0.0,0.0,0.0,0.0,1,43
Art,AHIS,AHIS 2,1078,MAJSTOROVIC M,33,2,1,0.0,7,0.0,1,0.0,0.0,0.0,2,46
Art,AHIS,AHIS 2,1079,DONAHUE N J,41,3,1,2,4,0.0,0.0,0.0,0.0,0.0,4,55
Art,AHIS,AHIS 2,1080,MEDVEDEV N,14,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20
Art,AHIS,AHIS 2,1081,MEDVEDEV N,32,1,1,0.0,7,0.0,0.0,0.0,0.0,0.0,5,46
Art,AHIS,AHIS 2,1082,DONAHUE N J,36,2,0.0,1,2,0.0,0.0,0.0,0.0,0.0,2,43
Art,AHIS,AHIS 2,1083,DONAHUE N J,31,1,2,3,3,0.0,0.0,0.0,0.0,0.0,2,42
Art,AHIS,AHIS 2,3408,MAJSTOROVIC M,18,5,3,1,7,0.0,0.0,0.0,0.0,0.0,7,41
Art,AHIS,AHIS 2,3472,MIHAYLOVICH K W,26,8,3,2,1,0.0,0.0,0.0,0.0,0.0,3,43
Art,AHIS,AHIS 2,3544,MAJSTOROVIC M,25,5,2,0.0,5,0.0,0.0,0.0,0.0,0.0,3,40
Art,AHIS,AHIS 2,3567,WASHINGTON T L,13,8,1,3,14,0.0,1,0.0,0.0,0.0,5,45
Art,AHIS,AHIS 3,1084,MEYER W J,15,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,18
Art,AHIS,AHIS 3,1085,MEYER W J,34,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,7,42
Art,AHIS,AHIS 3,3343,MEYER W J,32,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,8,43
Art,AHIS,AHIS 5,1086,SIMMONS B B,22,4,1,0.0,17,1,0.0,0.0,0.0,0.0,0.0,45
Art,AHIS,AHIS 5,1087,SIMMONS B B,26,1,2,0.0,5,0.0,0.0,0.0,0.0,0.0,5,39
Art,AHIS,AHIS 5,3344,SIMMONS B B,24,1,6,1,8,0.0,2,0.0,0.0,0.0,1,43
Art,AHIS,AHIS 6,1088,PRECIADO G,21,2,2,4,8,0.0,1,0.0,0.0,0.0,5,43
Art,AHIS,AHIS 11,1089,AHMADPOUR A,18,6,2,0.0,8,0.0,0.0,3,0.0,0.0,3,40
Art,AHIS,AHIS 11,1090,GREINER KA,15,2,5,4,11,2,0.0,0.0,0.0,0.0,3,42
Art,AHIS,AHIS 11,3345,PRECIADO G,25,3,1,1,6,0.0,1,0.0,0.0,0.0,5,42
Art,AHIS,AHIS 11,3570,THAYER J,12,3,3,0.0,6,0.0,2,0.0,0.0,1,8,35
Art,AHIS,AHIS 11,4007,PRECIADO G,10,2,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,16
Art,AHIS,AHIS 17,1091,WACKS D E,14,9,1,1,4,0.0,0.0,0.0,0.0,0.0,6,35
Art,AHIS,AHIS 17,1092,LEE O,21,3,3,2,4,0.0,1,0.0,0.0,0.0,5,39
Art,AHIS,AHIS 17,3571,LEE O,11,5,4,0.0,16,0.0,0.0,0.0,0.0,0.0,9,45
Art,AHIS,AHIS 18,1093,RODRIGUEZ K,15,5,5,1,13,0.0,0.0,0.0,0.0,0.0,3,42
Art,AHIS,AHIS 18,1094,RODRIGUEZ K,24,2,2,2,7,0.0,1,0.0,0.0,0.0,2,40
Art,AHIS,AHIS 18,3409,RODRIGUEZ K,20,6,3,0.0,12,0.0,1,0.0,0.0,0.0,2,44
