Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,W,EW,Total
Art,AHIS,AHIS 1,1068,DONAHUE N J,100.0,7.0,3.0,1.0,8.0,2.0,0.0,0.0,0.0,2.0,123
Art,AHIS,AHIS 1,1069,SIMMONS B B,53.0,3.0,5.0,1.0,17.0,0.0,0.0,0.0,1.0,3.0,83
Art,AHIS,AHIS 1,1070,PRECIADO G,30.0,3.0,5.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,50
Art,AHIS,AHIS 1,1071,MAJSTOROVIC M,33.0,1.0,2.0,0.0,4.0,0.0,3.0,0.0,2.0,2.0,47
Art,AHIS,AHIS 1,1072,RODRIGUEZ K,30.0,6.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,45
Art,AHIS,AHIS 1,1073,PRECIADO G,27.0,2.0,1.0,1.0,15.0,0.0,2.0,0.0,0.0,3.0,51
Art,AHIS,AHIS 1,1074,SIMMONS B B,40.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,46
Art,AHIS,AHIS 1,1075,WASHINGTON T L,18.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,39
Art,AHIS,AHIS 1,1076,MEDVEDEV N,29.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,42
Art,AHIS,AHIS 1,1077,MENDOZA B,30.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,45
Art,AHIS,AHIS 1,1078,PRECIADO G,23.0,2.0,2.0,1.0,14.0,0.0,0.0,0.0,1.0,3.0,46
Art,AHIS,AHIS 1,1079,DONAHUE N J,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,45
Art,AHIS,AHIS 1,1080,DONAHUE N J,41.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,45
Art,AHIS,AHIS 1,1082,BLACKWOOD K,14.0,7.0,5.0,3.0,13.0,3.0,0.0,0.0,5.0,10.0,60
Art,AHIS,AHIS 1,1083,BLACKWOOD K,17.0,11.0,3.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,42
Art,AHIS,AHIS 1,3450,MEYER W J,24.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,37
Art,AHIS,AHIS 1,3477,PRECIADO G,24.0,7.0,1.0,0.0,10.0,0.0,0.0,0.0,2.0,3.0,47
Art,AHIS,AHIS 1,3501,AHMADPOUR A,9.0,5.0,2.0,1.0,8.0,0.0,1.0,4.0,1.0,4.0,35
Art,AHIS,AHIS 1,3505,AHMADPOUR A,13.0,7.0,3.0,0.0,6.0,1.0,0.0,4.0,4.0,3.0,41
Art,AHIS,AHIS 2,1084,MAJSTOROVIC M,28.0,5.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,46
Art,AHIS,AHIS 2,1085,DONAHUE N J,32.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,44
Art,AHIS,AHIS 2,1086,MAJSTOROVIC M,26.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,4.0,3.0,42
Art,AHIS,AHIS 2,1087,DONAHUE N J,36.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,44
Art,AHIS,AHIS 2,1088,DONAHUE N J,37.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,45
Art,AHIS,AHIS 2,3364,MIHAYLOVICH K W,22.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,5.0,38
Art,AHIS,AHIS 2,3451,MIHAYLOVICH K W,23.0,3.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,7.0,43
Art,AHIS,AHIS 3,1090,MEYER W J,41.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,48
Art,AHIS,AHIS 3,1091,MEYER W J,38.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,44
Art,AHIS,AHIS 3,1092,MEYER W J,30.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,42
Art,AHIS,AHIS 5,1093,SIMMONS B B,43.0,6.0,6.0,1.0,18.0,0.0,1.0,0.0,0.0,6.0,81
Art,AHIS,AHIS 5,1094,SIMMONS B B,29.0,2.0,1.0,1.0,12.0,0.0,0.0,0.0,3.0,0.0,48
Art,AHIS,AHIS 5,1095,SIMMONS B B,24.0,4.0,4.0,1.0,9.0,1.0,3.0,0.0,1.0,1.0,48
Art,AHIS,AHIS 6,1096,PRECIADO G,26.0,9.0,3.0,4.0,26.0,0.0,0.0,0.0,1.0,2.0,71
Art,AHIS,AHIS 11,1097,AHMADPOUR A,19.0,6.0,4.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,39
Art,AHIS,AHIS 11,1098,PRECIADO G,21.0,3.0,1.0,2.0,7.0,0.0,3.0,0.0,3.0,4.0,44
Art,AHIS,AHIS 11,1099,PRECIADO G,30.0,5.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,3.0,49
Art,AHIS,AHIS 17,1100,WACKS D E,20.0,10.0,6.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,43
Art,AHIS,AHIS 17,1101,LEE O,12.0,6.0,3.0,1.0,14.0,1.0,0.0,0.0,1.0,2.0,40
Art,AHIS,AHIS 18,1102,RODRIGUEZ K,43.0,6.0,2.0,2.0,11.0,1.0,0.0,0.0,0.0,2.0,67
Art,AHIS,AHIS 18,1103,RODRIGUEZ K,36.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,46
Art,AHIS,AHIS 18,1104,RODRIGUEZ K,30.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,43
Art,AHIS,AHIS 21,1105,ROCCHIO M P,24.0,2.0,1.0,0.0,14.0,0.0,0.0,0.0,3.0,3.0,47
Art,AHIS,AHIS 21,1106,TAYLOR-HASTY K,22.0,4.0,5.0,0.0,8.0,0.0,0.0,0.0,4.0,3.0,46
