Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Art,AHIS,AHIS 1,1057,MOUSAVI A,9.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,34
Art,AHIS,AHIS 1,1058,MEDVEDEV N,20.0,14.0,7.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,80
Art,AHIS,AHIS 1,1059,MENDOZA B,40.0,18.0,11.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,88
Art,AHIS,AHIS 1,1060,HALL RE S,12.0,13.0,11.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,50
Art,AHIS,AHIS 1,1061,MEDVEDEV N,19.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,31
Art,AHIS,AHIS 1,1062,MCLEMORE E L,12.0,8.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,37
Art,AHIS,AHIS 1,1063,MEYER W J,23.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,36
Art,AHIS,AHIS 1,1064,MEYER W J,29.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,41
Art,AHIS,AHIS 1,3412,FOLLAND T F,9.0,7.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,36
Art,AHIS,AHIS 1,3466,FOLLAND T F,1.0,8.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,40
Art,AHIS,AHIS 1,3473,MACK R T,8.0,11.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,32
Art,AHIS,AHIS 1,3477,MACK R T,6.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31
Art,AHIS,AHIS 1,4008,LEAPER L E,11.0,4.0,3.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,8.0,38
Art,AHIS,AHIS 2,1065,DONAHUE N J,62.0,25.0,5.0,5.0,18.0,0.0,1.0,0.0,0.0,0.0,11.0,127
Art,AHIS,AHIS 2,1066,CHANDLER M M,8.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,34
Art,AHIS,AHIS 2,1068,MAJSTOROVIC M,53.0,8.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,76
Art,AHIS,AHIS 2,1069,STUART C A,10.0,10.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,35
Art,AHIS,AHIS 2,1070,CHANDLER M M,10.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,27
Art,AHIS,AHIS 2,1071,ROSENBLUM B T,12.0,3.0,4.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,6.0,35
Art,AHIS,AHIS 2,1072,HESSER M,18.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,37
Art,AHIS,AHIS 2,1073,MEYER W J,23.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,38
