Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Art,AHIS,AHIS 1,LEAPER L E,4.0,20.0,15.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,15.0,74
Art,AHIS,AHIS 1,MC GUIRE M C,12.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,26
Art,AHIS,AHIS 1,MEDVEDEV N,40.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,52
Art,AHIS,AHIS 1,MENDOZA B,42.0,15.0,10.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,88
Art,AHIS,AHIS 1,MEYER W J,21.0,4.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,43
Art,AHIS,AHIS 1,O'LEARY T F,11.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,27
Art,AHIS,AHIS 1,ROCCHIO M P,10.0,15.0,13.0,7.0,15.0,0.0,0.0,1.0,1.0,0.0,12.0,74
Art,AHIS,AHIS 1,ROSENBLUM B T,15.0,9.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,38
Art,AHIS,AHIS 1,SIMMONS B B,90.0,12.0,11.0,3.0,16.0,0.0,1.0,0.0,0.0,0.0,7.0,140
Art,AHIS,AHIS 2,CHANDLER M M,10.0,9.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,29
Art,AHIS,AHIS 2,DONAHUE N J,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,41
Art,AHIS,AHIS 2,FOLLAND T F,22.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,36
Art,AHIS,AHIS 2,HESSER M,16.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,29
Art,AHIS,AHIS 2,MAJSTOROVIC M,86.0,14.0,4.0,1.0,7.0,0.0,0.0,1.0,2.0,0.0,8.0,123
Art,AHIS,AHIS 2,MEYER W J,19.0,4.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,10.0,45
Art,AHIS,AHIS 2,ROSENBLUM B T,9.0,4.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,28
Art,AHIS,AHIS 2,WASHINGTON T L,14.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,36
Art,AHIS,AHIS 3,DONAHUE N J,91.0,8.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,124
Art,AHIS,AHIS 3,MIHAYLOVICH K W,21.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,42
Art,AHIS,AHIS 5,SIMMONS B B,41.0,20.0,6.0,8.0,9.0,0.0,1.0,1.0,0.0,0.0,5.0,91
Art,AHIS,AHIS 6,SIMMONS B B,27.0,5.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,47
Art,AHIS,AHIS 11,AHMADPOUR A,11.0,3.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,8.0,29
Art,AHIS,AHIS 11,APELIAN C D,7.0,12.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,36
Art,AHIS,AHIS 11,LEE O,25.0,4.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,45
Art,AHIS,AHIS 11,MEYER W J,44.0,16.0,3.0,2.0,19.0,0.0,0.0,1.0,1.0,0.0,9.0,95
Art,AHIS,AHIS 11,THAYER J,26.0,8.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,51
Art,AHIS,AHIS 17,LEE O,25.0,19.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,17.0,80
Art,AHIS,AHIS 17,SENARATH GAMAGE L,16.0,8.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,41
Art,AHIS,AHIS 18,SIMMONS B B,33.0,3.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,45
Art,AHIS,AHIS 21,ROCCHIO M P,13.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,27
Art,AHIS,AHIS 52,DASTIN E R,18.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,35
Art,AHIS,AHIS 72,MIHAYLOVICH K W,14.0,10.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,41
Art,AHIS,AHIS 72,RODRIGUEZ K,17.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,7.0,31
Art,ART,ART 10A,ARUTIAN C L,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,21
Art,ART,ART 10A,BADGER C P,29.0,8.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,61
