Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Art,AHIS,AHIS 1,1073,WACKS D E,7,9,7,3,10,0.0,0.0,0.0,0.0,7,0.0,43
Art,AHIS,AHIS 1,1074,RODRIGUEZ K,17,5,3,4,9,1,0.0,0.0,0.0,2,1,42
Art,AHIS,AHIS 1,1075,MEDVEDEV N,25,4,4,0.0,3,0.0,0.0,0.0,0.0,9,0.0,45
Art,AHIS,AHIS 1,1076,SIMMONS B B,32,2,3,1,6,0.0,1,0.0,0.0,3,0.0,48
Art,AHIS,AHIS 1,1077,LEAPER L E,4,10,10,3,12,0.0,0.0,0.0,0.0,4,0.0,43
Art,AHIS,AHIS 1,1078,HALLQUIST S L,27,6,3,3,4,0.0,0.0,0.0,0.0,2,0.0,45
Art,AHIS,AHIS 1,1079,MEYER W J,31,5,1,0.0,3,1,0.0,0.0,0.0,3,0.0,44
Art,AHIS,AHIS 1,1080,MEYER W J,28,6,1,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,42
Art,AHIS,AHIS 1,1081,SIMMONS B B,34,2,2,0.0,5,0.0,0.0,0.0,0.0,2,0.0,45
Art,AHIS,AHIS 1,1082,SIMMONS B B,32,2,3,1,5,1,0.0,0.0,0.0,1,0.0,45
Art,AHIS,AHIS 1,1083,BLACKWOOD K,6,9,3,1,8,0.0,0.0,1,0.0,4,0.0,32
Art,AHIS,AHIS 1,1084,WASHINGTON T L,21,5,2,0.0,6,1,0.0,0.0,0.0,4,0.0,39
Art,AHIS,AHIS 1,1085,GREINER KA,10,7,0.0,1,6,0.0,1,0.0,0.0,3,0.0,28
Art,AHIS,AHIS 1,1086,LEAPER L E,2,7,3,0.0,9,0.0,0.0,0.0,0.0,11,0.0,32
Art,AHIS,AHIS 1,1087,MENDOZA B,32,5,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,39
Art,AHIS,AHIS 1,1088,MEYER W J,36,2,1,1,5,0.0,0.0,0.0,0.0,4,0.0,49
Art,AHIS,AHIS 1,1089,MEYER W J,27,2,0.0,0.0,5,0.0,0.0,0.0,0.0,1,0.0,35
Art,AHIS,AHIS 1,3470,MEDVEDEV N,25,2,4,0.0,8,0.0,0.0,0.0,0.0,7,0.0,46
Art,AHIS,AHIS 2,1090,MAJSTOROVIC M,30,3,3,0.0,2,0.0,0.0,0.0,0.0,2,0.0,40
Art,AHIS,AHIS 2,1091,MAJSTOROVIC M,29,1,3,0.0,4,0.0,0.0,0.0,0.0,1,0.0,38
Art,AHIS,AHIS 2,1092,MEDVEDEV N,27,2,1,0.0,5,0.0,0.0,0.0,0.0,8,0.0,43
Art,AHIS,AHIS 2,1093,DONAHUE N J,29,0.0,1,1,10,0.0,0.0,0.0,0.0,2,0.0,43
Art,AHIS,AHIS 2,1094,DONAHUE N J,26,0.0,1,2,10,0.0,0.0,1,0.0,0.0,0.0,40
Art,AHIS,AHIS 2,1095,MENDOZA B,28,0.0,2,0.0,0.0,1,0.0,0.0,0.0,3,0.0,34
Art,AHIS,AHIS 2,1096,MIHAYLOVICH K W,25,3,0.0,1,2,1,1,0.0,0.0,6,0.0,39
Art,AHIS,AHIS 2,1097,MAJSTOROVIC M,25,2,1,0.0,5,0.0,0.0,0.0,0.0,8,0.0,41
Art,AHIS,AHIS 3,1099,MIHAYLOVICH K W,15,11,4,1,0.0,1,0.0,0.0,0.0,4,0.0,36
Art,AHIS,AHIS 3,1100,DONAHUE N J,35,1,0.0,0.0,3,0.0,0.0,0.0,0.0,1,0.0,40
Art,AHIS,AHIS 5,1101,SIMMONS B B,26,9,0.0,1,5,0.0,0.0,0.0,0.0,4,0.0,45
Art,AHIS,AHIS 5,1102,SIMMONS B B,24,9,1,0.0,7,0.0,0.0,0.0,0.0,3,0.0,44
Art,AHIS,AHIS 6,1103,RODRIGUEZ K,23,3,0.0,0.0,12,1,1,0.0,0.0,4,0.0,44
Art,AHIS,AHIS 11,1104,THAYER J,16,6,3,0.0,4,0.0,0.0,0.0,0.0,3,0.0,32
Art,AHIS,AHIS 11,1105,AHMADPOUR A,11,4,1,0.0,4,0.0,0.0,4,0.0,6,0.0,30
Art,AHIS,AHIS 11,1106,RODRIGUEZ K,29,1,2,3,4,0.0,0.0,0.0,0.0,4,0.0,43
Art,AHIS,AHIS 11,1107,RODRIGUEZ K,16,1,0.0,1,6,0.0,0.0,0.0,0.0,2,0.0,26
Art,AHIS,AHIS 11,1109,THAYER J,13,3,2,2,5,0.0,1,0.0,0.0,4,0.0,30
