Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,W,EW,Total
Art,AHIS,AHIS 1,1073,PRECIADO G,23,13,4,1,17,0.0,1,0.0,5,0.0,64
Art,AHIS,AHIS 1,1074,SIMMONS B B,50,7,6,0.0,17,0.0,1,0.0,4,0.0,85
Art,AHIS,AHIS 1,1075,RODRIGUEZ K,13,7,4,0.0,15,0.0,1,0.0,3,0.0,43
Art,AHIS,AHIS 1,1076,PRECIADO G,30,6,0.0,0.0,7,0.0,0.0,0.0,2,0.0,45
Art,AHIS,AHIS 1,1077,SIMMONS B B,36,1,4,1,3,0.0,0.0,0.0,4,0.0,49
Art,AHIS,AHIS 1,1078,RODRIGUEZ K,22,4,1,0.0,8,1,1,0.0,8,0.0,45
Art,AHIS,AHIS 1,1079,SIMMONS B B,38,2,1,0.0,1,0.0,0.0,0.0,3,0.0,45
Art,AHIS,AHIS 1,1080,MENDOZA B,16,4,0.0,0.0,4,2,1,0.0,3,0.0,30
Art,AHIS,AHIS 1,1081,MEYER W J,57,6,2,5,18,0.0,2,0.0,19,0.0,109
Art,AHIS,AHIS 1,1082,MEYER W J,33,1,2,0.0,5,0.0,1,0.0,0.0,0.0,42
Art,AHIS,AHIS 1,3248,PRECIADO G,24,5,2,1,7,0.0,1,0.0,3,0.0,43
Art,AHIS,AHIS 1,3311,MEYER W J,34,4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,40
Art,AHIS,AHIS 1,3331,PRECIADO G,30,3,0.0,1,12,0.0,0.0,0.0,1,0.0,47
Art,AHIS,AHIS 1,3346,RODRIGUEZ K,11,5,1,0.0,18,0.0,1,0.0,5,0.0,41
Art,AHIS,AHIS 1,3373,BLACKWOOD K,14,10,2,0.0,6,1,0.0,0.0,2,0.0,35
Art,AHIS,AHIS 1,3392,BLACKWOOD K,8,4,1,0.0,7,0.0,0.0,0.0,2,0.0,22
Art,AHIS,AHIS 1,3402,MIHAYLOVICH K W,8,8,2,0.0,14,0.0,0.0,0.0,1,0.0,33
Art,AHIS,AHIS 1,4006,GREINER KA,12,2,2,0.0,11,0.0,0.0,0.0,2,0.0,29
Art,AHIS,AHIS 2,1083,MAJSTOROVIC M,28,5,3,1,5,0.0,0.0,0.0,1,0.0,43
Art,AHIS,AHIS 2,1084,MEDVEDEV N,23,5,2,0.0,1,0.0,0.0,0.0,2,0.0,33
Art,AHIS,AHIS 2,1085,MAJSTOROVIC M,41,1,1,0.0,1,0.0,1,0.0,1,0.0,46
Art,AHIS,AHIS 2,1086,MEDVEDEV N,29,4,0.0,0.0,2,0.0,1,0.0,5,0.0,41
Art,AHIS,AHIS 2,1087,MIHAYLOVICH K W,19,8,2,3,2,0.0,0.0,0.0,4,0.0,38
Art,AHIS,AHIS 2,3249,MENDOZA B,22,7,3,2,1,0.0,0.0,0.0,5,0.0,40
Art,AHIS,AHIS 2,3297,MACE J Y,20,7,1,1,28,1,1,0.0,4,0.0,63
Art,AHIS,AHIS 2,3312,MACE J Y,23,1,1,1,19,0.0,1,0.0,2,0.0,48
Art,AHIS,AHIS 2,3374,MAJSTOROVIC M,25,1,3,1,4,0.0,1,0.0,5,0.0,40
Art,AHIS,AHIS 2,3398,WASHINGTON T L,4,2,1,2,5,0.0,0.0,0.0,4,0.0,18
Art,AHIS,AHIS 3,1088,MIHAYLOVICH K W,26,4,2,1,1,0.0,1,0.0,1,0.0,36
Art,AHIS,AHIS 5,1089,SIMMONS B B,49,5,5,1,16,1,1,0.0,4,0.0,82
Art,AHIS,AHIS 5,1090,SIMMONS B B,25,4,3,0.0,9,1,0.0,0.0,1,0.0,43
